Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1984-03-31,1.191078246941648,macro,,,,,,,,,,,,,101.0,,,,,1.191078246941648,,
1984-04-30,0.844259193957376,macro,,,,,,,,,,,,,96.1,,,,,0.844259193957376,,
1984-05-31,0.9858179910938134,macro,,,,,,,,,,,,,98.1,,,,,0.9858179910938134,,
1984-06-30,0.8017915548164452,macro,,,,,,,,,,,,,95.5,,,,,0.8017915548164452,,
1984-07-31,0.8796488932414853,macro,,,,,,,,,,,,,96.6,,,,,0.8796488932414853,,
1984-08-31,1.0565973896620322,macro,,,,,,,,,,,,,99.1,,,,,1.0565973896620322,,
1984-09-30,1.1840003070848266,macro,,,,,,,,,,,,,100.9,,,,,1.1840003070848266,,
1984-10-31,0.85841507367102,macro,,,,,,,,,,,,,96.3,,,,,0.85841507367102,,
1984-11-30,0.8159474345300891,macro,,,,,,,,,,,,,95.7,,,,,0.8159474345300891,,
1984-12-31,0.6177651185390769,macro,,,,,,,,,,,,,92.9,,,,,0.6177651185390769,,
1985-01-31,0.4658736958105069,macro,,,,,,,,,,,,,96.0,125.22474,,,,0.8371812541005546,0.0945661375204593,
1985-02-28,0.11273527206489023,macro,,,,,,,,,,,,,93.7,99.02081,,,,0.6743886373936516,-0.44891809326387117,
1985-03-31,0.24930876073930663,macro,,,,,,,,,,,,,93.7,112.19051,,,,0.6743886373936516,-0.17577111591503838,
1985-04-30,0.18389465496283017,macro,,,,,,,,,,,,,94.6,102.81132,,,,0.7380900961050479,-0.3703007861793876,
1985-05-31,0.26391276690447635,macro,,,,,,,,,,,,,91.8,120.08272,,,,0.5399077801140357,-0.012082246305083066,
1985-06-30,0.5612258756319835,macro,,,,,,,,,,,,,96.5,132.71319,,,,0.8725709533846638,0.24988079787930317,
