Date,Capex_Macro_Comp,Capex_Hyperscaler,Capex_Supply
1970-03-31,159.0909090909091,,159.0909090909091
1970-04-30,74.99999999999999,,74.99999999999999
1970-05-31,74.99999999999999,,74.99999999999999
1970-06-30,74.99999999999999,,74.99999999999999
1970-07-31,-137.49999999999997,,-137.49999999999997
1970-08-31,-137.49999999999997,,-137.49999999999997
1970-09-30,-137.49999999999997,,-137.49999999999997
1970-10-31,56.81818181818181,,56.81818181818181
1970-11-30,56.81818181818181,,56.81818181818181
1970-12-31,56.81818181818181,,56.81818181818181
1971-01-31,-62.5,,-62.5
1971-02-28,-62.5,,-62.5
1971-03-31,-62.5,,-62.5
1971-04-30,398.8636363636363,,398.8636363636363
1971-05-31,398.8636363636363,,398.8636363636363
1971-06-30,398.8636363636363,,398.8636363636363
1971-07-31,126.13636363636363,,126.13636363636363
1971-08-31,126.13636363636363,,126.13636363636363
1971-09-30,126.13636363636363,,126.13636363636363
1971-10-31,215.90909090909088,,215.90909090909088
1971-11-30,215.90909090909088,,215.90909090909088
1971-12-31,215.90909090909088,,215.90909090909088
1972-01-31,262.5,,262.5
1972-02-29,262.5,,262.5
1972-03-31,262.5,,262.5
1972-04-30,7.954545454545453,,7.954545454545453
1972-05-31,7.954545454545453,,7.954545454545453
1972-06-30,7.954545454545453,,7.954545454545453
1972-07-31,119.31818181818181,,119.31818181818181
1972-08-31,119.31818181818181,,119.31818181818181
1972-09-30,119.31818181818181,,119.31818181818181
1972-10-31,156.8181818181818,,156.8181818181818
1972-11-30,156.8181818181818,,156.8181818181818
1972-12-31,156.8181818181818,,156.8181818181818
1973-01-31,292.0454545454545,,292.0454545454545
1973-02-28,292.0454545454545,,292.0454545454545
1973-03-31,292.0454545454545,,292.0454545454545
1973-04-30,234.0909090909091,,234.0909090909091
1973-05-31,234.0909090909091,,234.0909090909091
1973-06-30,234.0909090909091,,234.0909090909091
1973-07-31,164.77272727272725,,164.77272727272725
1973-08-31,164.77272727272725,,164.77272727272725
1973-09-30,164.77272727272725,,164.77272727272725
1973-10-31,334.09090909090907,,334.09090909090907
1973-11-30,334.09090909090907,,334.09090909090907
1973-12-31,334.09090909090907,,334.09090909090907
1974-01-31,97.72727272727272,,97.72727272727272
1974-02-28,97.72727272727272,,97.72727272727272
1974-03-31,97.72727272727272,,97.72727272727272
1974-04-30,5.681818181818182,,5.681818181818182
1974-05-31,5.681818181818182,,5.681818181818182
1974-06-30,5.681818181818182,,5.681818181818182
1974-07-31,338.6363636363636,,338.6363636363636
1974-08-31,338.6363636363636,,338.6363636363636
1974-09-30,338.6363636363636,,338.6363636363636
1974-10-31,135.22727272727272,,135.22727272727272
1974-11-30,135.22727272727272,,135.22727272727272
1974-12-31,135.22727272727272,,135.22727272727272
1975-01-31,-121.59090909090908,,-121.59090909090908
1975-02-28,-121.59090909090908,,-121.59090909090908
1975-03-31,-121.59090909090908,,-121.59090909090908
1975-04-30,-144.31818181818178,,-144.31818181818178
1975-05-31,-144.31818181818178,,-144.31818181818178
1975-06-30,-144.31818181818178,,-144.31818181818178
1975-07-31,-32.95454545454545,,-32.95454545454545
1975-08-31,-32.95454545454545,,-32.95454545454545
1975-09-30,-32.95454545454545,,-32.95454545454545
1975-10-31,11.363636363636363,,11.363636363636363
1975-11-30,11.363636363636363,,11.363636363636363
1975-12-31,11.363636363636363,,11.363636363636363
1976-01-31,160.22727272727272,,160.22727272727272
1976-02-29,160.22727272727272,,160.22727272727272
1976-03-31,160.22727272727272,,160.22727272727272
1976-04-30,363.6363636363636,,363.6363636363636
1976-05-31,363.6363636363636,,363.6363636363636
1976-06-30,363.6363636363636,,363.6363636363636
1976-07-31,325.0,,325.0
1976-08-31,325.0,,325.0
1976-09-30,325.0,,325.0
1976-10-31,407.95454545454544,,407.95454545454544
1976-11-30,407.95454545454544,,407.95454545454544
1976-12-31,407.95454545454544,,407.95454545454544
1977-01-31,68.18181818181817,,68.18181818181817
1977-02-28,68.18181818181817,,68.18181818181817
1977-03-31,68.18181818181817,,68.18181818181817
1977-04-30,254.5454545454545,,254.5454545454545
1977-05-31,254.5454545454545,,254.5454545454545
1977-06-30,254.5454545454545,,254.5454545454545
1977-07-31,188.63636363636365,,188.63636363636365
1977-08-31,188.63636363636365,,188.63636363636365
1977-09-30,188.63636363636365,,188.63636363636365
1977-10-31,334.09090909090907,,334.09090909090907
1977-11-30,334.09090909090907,,334.09090909090907
1977-12-31,334.09090909090907,,334.09090909090907
1978-01-31,302.27272727272725,,302.27272727272725
1978-02-28,302.27272727272725,,302.27272727272725
1978-03-31,302.27272727272725,,302.27272727272725
1978-04-30,527.2727272727273,,527.2727272727273
1978-05-31,527.2727272727273,,527.2727272727273
1978-06-30,527.2727272727273,,527.2727272727273
1978-07-31,305.68181818181813,,305.68181818181813
1978-08-31,305.68181818181813,,305.68181818181813
1978-09-30,305.68181818181813,,305.68181818181813
1978-10-31,282.95454545454544,,282.95454545454544
1978-11-30,282.95454545454544,,282.95454545454544
1978-12-31,282.95454545454544,,282.95454545454544
1979-01-31,219.31818181818178,,219.31818181818178
1979-02-28,219.31818181818178,,219.31818181818178
1979-03-31,219.31818181818178,,219.31818181818178
1979-04-30,89.77272727272727,,89.77272727272727
1979-05-31,89.77272727272727,,89.77272727272727
1979-06-30,89.77272727272727,,89.77272727272727
1979-07-31,257.95454545454544,,257.95454545454544
1979-08-31,257.95454545454544,,257.95454545454544
1979-09-30,257.95454545454544,,257.95454545454544
1979-10-31,270.45454545454544,,270.45454545454544
1979-11-30,270.45454545454544,,270.45454545454544
1979-12-31,270.45454545454544,,270.45454545454544
1980-01-31,211.36363636363637,,211.36363636363637
1980-02-29,211.36363636363637,,211.36363636363637
1980-03-31,211.36363636363637,,211.36363636363637
1980-04-30,73.86363636363636,,73.86363636363636
1980-05-31,73.86363636363636,,73.86363636363636
1980-06-30,73.86363636363636,,73.86363636363636
1980-07-31,267.04545454545456,,267.04545454545456
1980-08-31,267.04545454545456,,267.04545454545456
1980-09-30,267.04545454545456,,267.04545454545456
1980-10-31,81.81818181818181,,81.81818181818181
1980-11-30,81.81818181818181,,81.81818181818181
1980-12-31,81.81818181818181,,81.81818181818181
1981-01-31,229.5454545454545,,229.5454545454545
1981-02-28,229.5454545454545,,229.5454545454545
1981-03-31,229.5454545454545,,229.5454545454545
1981-04-30,151.13636363636363,,151.13636363636363
1981-05-31,151.13636363636363,,151.13636363636363
1981-06-30,151.13636363636363,,151.13636363636363
1981-07-31,209.09090909090904,,209.09090909090904
1981-08-31,209.09090909090904,,209.09090909090904
1981-09-30,209.09090909090904,,209.09090909090904
1981-10-31,236.36363636363632,,236.36363636363632
1981-11-30,236.36363636363632,,236.36363636363632
1981-12-31,236.36363636363632,,236.36363636363632
1982-01-31,176.13636363636363,,176.13636363636363
1982-02-28,176.13636363636363,,176.13636363636363
1982-03-31,176.13636363636363,,176.13636363636363
1982-04-30,-171.5909090909091,,-171.5909090909091
1982-05-31,-171.5909090909091,,-171.5909090909091
1982-06-30,-171.5909090909091,,-171.5909090909091
1982-07-31,25.0,,25.0
1982-08-31,25.0,,25.0
1982-09-30,25.0,,25.0
1982-10-31,-87.5,,-87.5
1982-11-30,-87.5,,-87.5
1982-12-31,-87.5,,-87.5
1983-01-31,373.8636363636363,,373.8636363636363
1983-02-28,373.8636363636363,,373.8636363636363
1983-03-31,373.8636363636363,,373.8636363636363
1983-04-30,370.45454545454544,,370.45454545454544
1983-05-31,370.45454545454544,,370.45454545454544
1983-06-30,370.45454545454544,,370.45454545454544
1983-07-31,263.6363636363636,,263.6363636363636
