date,Capex_Supply
2024-12-31,100.0
2025-01-31,100.0
2025-02-28,100.0
2025-03-31,100.0
2025-04-30,100.0
2025-05-31,100.0
2025-06-30,100.0
2025-07-31,100.0
2025-08-31,100.0
2025-09-30,100.0
2025-10-31,100.0
2025-11-30,100.0
