Date,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning
2025-07-31,288589.0,3256479.0,105533.0,261321.0,71003.0
2025-08-31,296561.0,4170760.0,109906.0,317232.0,72570.0
2025-09-30,334185.0,4354370.0,101751.0,283522.0,68907.0
2025-10-31,349106.0,4224435.0,113239.0,342201.0,74963.0
2025-11-30,323056.0,3639485.0,103949.0,255436.0,67992.0
2025-12-31,325445.0,3155462.0,90169.0,205481.0,62772.0
2026-01-31,344166.0,3163419.0,97128.0,204586.0,63644.0
2026-02-28,345208.0,2455248.0,105638.0,252798.0,62449.0
2026-03-31,370062.0,2314878.0,108571.0,232982.0,138835.0
2026-04-30,306610.0,2265270.0,101040.0,240840.0,66954.0
2026-05-31,340860.0,2278052.0,99689.0,247903.0,59002.0
2026-06-30,304218.0,2724827.0,100143.0,217779.0,56949.0
2026-07-31,309031.0,2840241.0,94850.0,191272.0,60130.0
2026-08-31,355079.0,1618890.0,91230.0,172659.0,55669.0
2026-09-30,118670.0,411843.0,31176.0,79635.0,18559.0
